customer_id,gender,senior_citizen,partner,dependents,tenure,contract_type,paperless_billing,payment_method,monthly_call_minutes,monthly_data_usage_gb,number_of_calls,international_calls,roaming_usage,monthly_charges,total_charges,avg_revenue_per_user,internet_service,online_security,tech_support,streaming_tv,streaming_movies,network_type,churn_risk,churn,segment,churn_prediction
CUST00001,Male,0,0,1,2,One year,0,Mailed check,160.12,147.54,108,29,15.67,1866.68,38325.43,761.96,None,0,0,0,0,Vodafone,High,Yes,0,0.8
CUST00002,Female,1,1,1,4,Two year,1,Bank transfer,1933.29,38.09,403,22,10.54,1254.92,38499.19,1033.08,Fiber,1,1,1,0,Airtel,High,Yes,0,0.8
CUST00003,Male,0,1,0,45,Two year,0,Bank transfer,17.65,126.77,186,14,5.29,1618.06,38094.87,180.3,Fiber,1,0,0,1,Airtel,Medium,No,1,0.5
CUST00004,Male,1,1,1,13,Month-to-month,0,Mailed check,1882.91,134.3,57,46,15.75,1243.07,31018.43,712.95,DSL,1,1,0,0,Airtel,Medium,No,0,0.5
CUST00005,Male,1,0,0,55,Month-to-month,0,Bank transfer,1140.82,66.41,185,42,6.35,1262.85,2059.83,295.13,None,0,0,1,0,Airtel,Medium,No,1,0.5
CUST00006,Female,0,1,1,32,Two year,1,Bank transfer,523.96,127.7,408,25,4.9,826.54,19440.69,422.37,DSL,0,0,1,0,Airtel,Low,No,2,0.2
CUST00007,Male,1,1,1,22,Two year,0,Credit card,1279.08,42.22,54,15,3.43,553.1,16601.17,857.84,DSL,0,1,1,1,Vodafone,Low,No,2,0.2
CUST00008,Male,1,0,1,55,Two year,0,Electronic check,1349.07,133.54,267,9,12.54,760.94,1546.25,856.93,DSL,0,0,1,1,Vodafone,Low,No,1,0.2
CUST00009,Male,0,0,0,17,Two year,0,Credit card,1463.36,95.58,323,35,4.85,659.23,4740.43,1219.12,Fiber,1,1,1,0,Airtel,Low,No,2,0.2
CUST00010,Female,0,0,0,70,Two year,1,Mailed check,42.71,29.56,175,27,7.5,1412.33,21311.03,765.07,None,0,0,0,1,Jio,Medium,No,1,0.5
CUST00011,Male,0,0,1,51,Month-to-month,1,Mailed check,1965.74,118.09,12,41,14.18,901.87,44097.79,1422.04,DSL,1,1,1,1,Airtel,Low,No,1,0.2
CUST00012,Male,0,1,1,8,Month-to-month,1,Bank transfer,1239.65,137.1,227,25,15.88,1144.31,48106.18,568.94,DSL,1,1,1,0,Vodafone,Medium,No,0,0.5
CUST00013,Male,1,0,0,61,One year,0,Credit card,761.3,85.78,490,30,6.3,1563.79,37299.57,742.63,Fiber,0,1,1,1,Jio,Medium,No,1,0.5
CUST00014,Male,0,1,0,10,One year,0,Mailed check,1145.59,114.18,378,17,16.86,605.45,11668.67,1178.56,None,1,0,1,1,Airtel,Medium,No,2,0.5
CUST00015,Female,0,0,0,19,Month-to-month,0,Mailed check,365.06,119.32,481,16,1.16,903.93,46125.21,1019.94,Fiber,0,1,1,0,Jio,Low,No,0,0.2
CUST00016,Male,0,0,1,14,One year,0,Bank transfer,502.06,118.22,196,47,19.72,1086.03,48910.03,333.53,DSL,0,0,1,0,Jio,Low,No,0,0.2
CUST00017,Female,0,1,0,67,Two year,0,Bank transfer,180.7,68.44,106,31,8.34,201.23,21797.21,826.59,Fiber,0,1,0,1,Jio,Low,No,2,0.2
CUST00018,Female,0,1,0,55,One year,0,Mailed check,1759.67,111.12,200,38,6.5,388.15,26333.91,206.09,DSL,0,0,0,0,Jio,Low,No,2,0.2
CUST00019,Female,1,1,0,61,Two year,1,Credit card,510.68,82.51,359,4,18.47,219.67,17627.18,309.05,Fiber,1,1,1,1,Jio,Low,No,2,0.2
CUST00020,Male,0,0,0,56,Two year,0,Electronic check,1482.02,62.49,52,41,2.65,1528.29,42676.34,246.41,Fiber,1,1,0,0,Airtel,Medium,No,1,0.5
CUST00021,Female,1,0,0,63,One year,1,Credit card,555.66,25.29,269,28,7.16,668.83,15235.32,233.03,DSL,0,1,1,1,Vodafone,Low,No,2,0.2
CUST00022,Male,0,1,0,11,One year,0,Bank transfer,300.52,136.4,180,35,7.18,901.93,5881.04,304.89,None,0,0,1,0,Jio,Medium,No,0,0.5
CUST00023,Female,0,1,0,47,Two year,0,Mailed check,225.19,62.53,246,38,8.49,1376.42,23072.06,1346.62,Fiber,0,1,1,1,Jio,Medium,No,1,0.5
CUST00024,Female,0,0,1,6,Month-to-month,1,Bank transfer,1721.89,36.32,198,49,16.97,1935.29,8891.83,1063.31,DSL,0,0,1,0,Vodafone,High,Yes,0,0.8
CUST00025,Female,0,1,0,34,One year,1,Mailed check,248.28,36.72,351,10,16.99,1639.99,21832.21,1045.69,Fiber,0,1,0,1,Vodafone,Medium,No,0,0.5
CUST00026,Female,0,1,1,65,One year,0,Mailed check,183.43,36.69,314,32,11.83,208.82,29478.73,1354.24,None,1,1,0,0,Airtel,Low,No,2,0.2
CUST00027,Female,0,0,1,64,Month-to-month,0,Electronic check,28.62,0.87,457,3,19.84,679.89,40228.81,1076.92,None,0,0,0,0,Airtel,Medium,No,2,0.5
